job_code,job_name,cluster_id,silhouette,sil_reliable,is_simulation_target
K000000821,제관원(제관기조작원),C3,0.3589,True,False
K000000822,항공기정비원,C1,0.2689,True,False
K000000823,판금원(판금기조작원),C2,0.0393,True,True
K000000824,번역가,C6,0.0233,True,True
K000000825,자연과학시험원,C4,0.0501,True,True
K000000826,전기기기·제품개발기술자 및 연구원,C4,0.1124,True,True
K000000827,노점 및 이동판매원,C6,0.0586,True,True
K000000828,시멘트·광물제품생산기계조작원,C3,0.1484,True,False
K000000829,토목안전·환경기술자 및 토목품질기술자,C1,0.2643,True,False
K000000830,치과위생사,C8,0.0829,True,True
K000000831,도장원(도장기조작원),C3,0.3782,True,False
K000000832,정보보안전문가,C1,0.0892,True,False
K000000833,사회복지관리자,C7,0.2297,True,False
K000000834,정치학연구원,C8,0.0867,True,True
K000000835,산업안전원 및 위험관리원,C2,0.0051,True,True
K000000836,농학연구원,C4,0.2767,True,True
K000000837,외국어강사,C6,0.144,True,True
K000000838,초등학교 교장 및 교감,C7,0.1123,True,False
K000000839,표백·염색기조작원,C3,0.3416,True,False
K000000840,송·배전설비기술자,C2,0.0145,True,True
K000000841,김치·밑반찬 제조종사원,C5,0.1864,True,True
K000000842,육묘 및 화훼작물재배자,C2,0.1695,True,True
K000000843,자재·구매사무원,C8,0.0625,True,True
K000000844,비뇨기과의사,C8,0.0637,True,True
K000000845,스포츠트레이너,C6,0.2518,True,True
K000000846,장례지도사 및 장례상담원,C6,0.221,True,True
K000000847,기업고위임원,C7,0.2958,True,False
K000000848,재봉사,C3,0.177,True,False
K000000849,보조교사,C4,0.0532,True,True
K000000850,요양보호사 및 간병인,C5,0.009,True,True
K000000851,지휘자,C8,0.0385,True,True
K000000852,생명과학시험원,C1,0.2259,True,False
K000000853,시스템소프트웨어개발자,C4,0.1978,True,True
K000000854,주차관리·안내원,C3,0.1397,True,False
K000000855,물류사무원,C4,0.1757,True,True
K000000856,컴퓨터시스템설계 및 분석가,C4,0.2006,True,True
K000000857,사회복지사,C8,0.1869,True,True
K000000858,자동차부품조립·검사원,C3,0.3547,True,False
K000000859,경기심판 및 경기기록원,C6,0.0499,True,True
K000000860,로봇공학기술자,C1,0.2287,True,False
K000000861,제과·제빵원,C6,0.2154,True,True
K000000862,안과의사,C6,0.0716,True,True
K000000863,원자력공학기술자,C1,0.2158,True,False
K000000864,재활공학기사,C1,0.2097,True,False
K000000865,석유화학공학기술자 및 연구원,C4,0.1615,True,True
K000000866,출판·자료편집사무원,C4,0.1975,True,True
K000000867,직업운동선수,C5,0.0905,True,True
K000000868,건설 및 채굴기계운전원,C2,0.0147,True,True
K000000869,조림·산림경영인 및 벌목원,C3,0.1961,True,False
K000000870,플랜트기계공학기술자,C1,0.225,True,False
K000000871,일반기계조립원,C3,0.3446,True,False
K000000872,광고·홍보·마케팅전문가,C8,0.1219,True,True
K000000873,음향·녹음기사,C4,0.1105,True,True
K000000874,주유원,C5,-0.0951,False,True
K000000875,인적자원전문가,C8,0.1877,True,True
K000000876,전기감리기술자,C4,0.0959,True,True
K000000877,항공공학기술자,C1,0.0734,True,False
K000000878,도시계획·설계가,C4,0.0974,True,True
K000000879,디스플레이연구 및 개발자,C4,0.2199,True,True
K000000880,사진인화·현상기조작원(사진수정 포함),C5,-0.0168,False,True
K000000881,공연·영화 및 음반기획자,C6,-0.0404,False,True
K000000882,귀금속·보석세공원,C4,0.0146,True,True
K000000883,학습지·교육교구방문강사,C7,0.118,True,False
K000000884,선박갑판원,C3,0.377,True,False
K000000885,승강기설치·정비원,C2,0.2661,True,True
K000000886,냉동·냉장·공조기설치·정비원,C2,0.1189,True,True
K000000887,수질환경기술자 및 연구원,C4,0.1076,True,True
K000000888,지적 및 측량기술자,C1,0.2407,True,False
K000000889,외과의사,C8,0.1593,True,True
K000000890,UX·UI디자이너,C8,-0.0047,False,True
K000000891,교통계획·설계가,C4,0.2883,True,True
K000000892,성형외과의사,C7,0.0906,True,False
K000000893,음료조리사,C5,0.1165,True,True
K000000894,악기제조원 및 조율사,C2,0.1844,True,True
K000000895,건설·채굴관리자,C1,0.1264,True,False
K000000896,점화·발파·화약관리원,C2,0.1826,True,True
K000000897,철골공(강구조물건립원),C2,0.2959,True,True
K000000898,경제학연구원,C8,0.0493,True,True
K000000899,영화배우 및 탤런트,C5,0.1032,True,True
K000000900,통신망운영기술자,C1,0.1954,True,False
K000000901,연극 및 뮤지컬배우,C8,0.0419,True,True
K000000902,낙농종사원,C2,0.0547,True,True
K000000903,천문 및 기상학연구원,C4,0.2241,True,True
K000000904,숙박시설서비스원,C6,0.1655,True,True
K000000905,음료제조기계조작원,C3,0.2676,True,False
K000000906,대학교수,C8,0.185,True,True
K000000907,채소·특용작물재배원,C2,0.1324,True,True
K000000908,보험인수심사원(언더라이터),C8,0.0204,True,True
K000000909,선박조립원,C3,0.3244,True,False
K000000910,경찰·소방·교도관리자,C7,0.0566,True,False
K000000911,예능강사,C8,0.0156,True,True
K000000912,중고등학교 교장 및 교감,C7,0.127,True,False
K000000913,홀서빙원,C5,0.1649,True,True
K000000914,헬리콥터정비원,C2,0.1296,True,True
K000000915,건축감리기술자,C8,0.0367,True,True
K000000916,상·하수도처리장치조작원,C1,0.1271,True,False
K000000917,전자부품·제품생산기계조작원,C2,0.2048,True,True
K000000918,무역사무원,C8,0.1867,True,True
K000000919,마케팅·광고·홍보관리자,C8,0.2445,True,True
K000000920,토양환경기술자 및 연구원,C1,0.1213,True,False
K000000921,선박교통관제사,C4,0.0705,True,True
K000000922,건축설비기술자,C1,0.3089,True,False
K000000923,단열공,C2,0.1229,True,True
K000000924,통신기기·장비기술자,C1,0.0133,True,False
K000000925,정부·공공행정전문가,C8,0.2246,True,True
K000000926,어부 및 해녀,C5,0.0325,True,True
K000000927,전기부품·제품생산기계조작원,C2,-0.0433,False,True
K000000928,정신과의사,C8,0.2055,True,True
K000000929,수상운송사무원,C6,-0.0478,False,True
K000000930,제품광고영업원,C6,0.0433,True,True
K000000931,보건·의료관리자,C7,0.3378,True,False
K000000932,유리부착원,C3,0.077,True,False
K000000933,행정부고위공무원,C7,0.1789,True,False
K000000934,화학공학시험원,C4,0.1428,True,True
K000000935,가축사육종사원,C3,0.2073,True,False
K000000936,통신기술개발자,C4,0.2746,True,True
K000000937,신문기자,C8,0.2053,True,True
K000000938,대기환경기술자 및 연구원,C1,0.0732,True,False
K000000939,가정의학과의사,C8,0.1854,True,True
K000000940,건축시공기술자 및 견적원,C1,0.0745,True,False
K000000941,철도·전동차기관사,C2,0.1778,True,True
K000000942,재료(금속)공학기술자,C4,0.1415,True,True
K000000943,종이제품생산기계조작원,C3,0.1733,True,False
K000000944,경영·진단전문가,C8,0.0557,True,True
K000000945,금속가공기계조작원,C3,0.3439,True,False
K000000946,도료 및 농약품화학공학기술자 및 연구원,C4,0.2821,True,True
K000000947,문리학원강사,C8,0.186,True,True
K000000948,소아청소년과의사,C8,0.1293,True,True
K000000949,철학연구원,C4,0.0649,True,True
K000000950,음식서비스관리자,C6,0.1164,True,True
K000000951,모델,C6,0.1136,True,True
K000000952,매장계산원 및 요금정산원,C5,0.2096,True,True
K000000953,소방공학기술자 및 연구원,C1,0.0586,True,False
K000000954,하역·적재종사원,C3,0.3121,True,False
K000000955,행사기획자,C7,0.2886,True,False
K000000956,건축구조기술자,C1,0.1416,True,False
K000000957,스포츠강사,C6,0.2419,True,True
K000000958,방송장비설치·수리원,C2,0.2518,True,True
K000000959,축산학 및 수의학연구원,C4,0.1634,True,True
K000000960,화학연구원,C8,0.0248,True,True
K000000961,사무용 전자기기설치·수리원,C2,0.0817,True,True
K000000962,도금·금속분무기조작원,C2,0.3034,True,True
K000000963,컴퓨터설치·수리원,C2,0.1643,True,True
K000000964,건설배관공,C3,0.2329,True,False
K000000965,의복·가죽·모피수선원,C5,0.0717,True,True
K000000966,잡지기자,C8,0.086,True,True
K000000967,기술·기능계강사,C7,0.0537,True,False
K000000968,네트워크시스템개발자,C4,0.144,True,True
K000000969,예술·디자인·방송관리자,C8,0.1507,True,True
K000000970,식품공학시험원,C4,0.2659,True,True
K000000971,가구조립원,C3,0.3022,True,False
K000000972,네일아티스트,C5,0.1,True,True
K000000973,임학 및 산림학연구원,C4,0.3076,True,True
K000000974,선장 및 항해사,C1,0.1089,True,False
K000000975,발전설비기술자,C4,0.088,True,True
K000000976,선박정비원,C2,0.1993,True,True
K000000977,보험대리인 및 중개인,C8,0.1855,True,True
K000000978,IT기술지원전문가,C8,0.1129,True,True
K000000979,오락시설서비스원,C5,-0.0196,False,True
K000000981,레크리에이션전문가,C6,0.0787,True,True
K000000982,패스트푸드준비원,C5,0.0541,True,True
K000000983,잠수기능원,C2,0.1917,True,True
K000000984,전자제품 및 부품 개발기술자,C1,0.0434,True,False
K000000985,조경기술자,C1,0.1101,True,False
K000000986,화학제품생산기계조작원(고무·플라스틱 제외),C2,0.2259,True,True
K000000987,자산운용가,C8,0.3007,True,True
